Date,close,atr,atr_sma,adx,plus_di,minus_di,direction,volatility,regime,action,activation
2020-09-28,1.2766826152801514,0.01473051972276093,0.013155764737944838,24.127593147252096,17.54927446347442,21.398365727854685,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-29,1.2873492240905762,0.014620527392426828,0.013200428598684462,23.110103132052075,16.41835016644063,20.01939523144962,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-09-30,1.2866535186767578,0.014517310258561381,0.013247144327015473,21.727709128722886,17.365947669489106,18.721608130109008,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-01,1.2917560338974,0.014603873020026097,0.013300772151128189,20.324801448821777,18.01800386790037,17.281306688236988,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-02,1.2886265516281128,0.014356537875176123,0.013355813603322036,19.022101460342178,17.01924614931909,16.3233849024172,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-05,1.2931090593338013,0.014054313643796704,0.01339727131734038,18.199946245981614,17.998509663381242,15.483374479727134,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-06,1.2992581129074097,0.013661671215033602,0.013426145021920178,17.66037899903308,18.315066835090985,14.790632498683957,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-07,1.2883278131484985,0.013701900906404494,0.013458418999574158,16.512122338299328,16.956914540493333,17.50303084397707,Sideways,Volatile,Sideways Volatile,stay_out,disabled
2020-10-08,1.2917560338974,0.013337836795728001,0.013479808200541031,15.664207760026546,18.321750361108442,16.696444495061698,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-09,1.29404616355896,0.013081639986509916,0.013486854602812131,15.354047135256709,19.843911004184694,15.807475622640654,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-12,1.3031693696975708,0.013142225980515485,0.013497308777126469,15.676712365927594,21.857413280801765,14.610702563235437,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-13,1.3065747022628784,0.012957230346317636,0.013504643108347087,15.415609559225336,20.585946120460253,16.167691034174304,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-14,1.2935272455215454,0.01345347199978588,0.013525375330496924,14.522558520448644,18.410430700879534,19.515163442606898,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-15,1.3012362718582153,0.013469208453274947,0.013550012214739995,13.693296841584573,17.075426901967646,18.100051664096362,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-16,1.2902060747146606,0.013500237696532932,0.013573273175449485,13.133463677103144,15.81931033911799,17.78718310435888,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-19,1.2927746772766113,0.013398839961286022,0.013595220900389914,12.486902374195617,18.05796425671291,16.641662408342288,Sideways,Quiet,Sideways Quiet,proceed,active
2020-10-20,1.2948671579360962,0.012907411449036659,0.013613625973361855,11.73962984491801,17.406527929152965,16.715526649917763,Sideways,Quiet,Sideways Quiet,proceed,active
